Object Name,Satellite of,Equatorial Radius [m],Mean Radius [m],Mass [kg],Bulk Density [kg m-3],Semimajor Axis [m],Sidereal Rotation Period [s],Sidereal Orbit Period (Negative Indicates Retrograde) [s],Inclination (Relative to Primary's Equator)[deg],Eccentricity,Axial Tilt [deg],Magnitude [mag],Magnitude Band [UBVRI],Geometric Albedo,Mean Gravity [m s-2],Equatorial Gravity [m-2],Escape Velocity [m s-1],Perihelion [m],Aphelion [m],Luminosity [J s-1],Orbital Motion [rad s-1],Beta Parameter [kg m-1 s-2],Core Radius [m],Mantle Thickness [m]
Ananke,Jupiter,,1.40E+04,3.00E+16,2.60E+03,,,-5.44E+07,,,,19.1,R,4.00E-02,1.02E-02,,,,,,-1.16E-07,3.72E+05,,
Leda,Jupiter,,1.00E+04,1.09E+16,2.60E+03,1.12E+10,,2.08E+07,27.47,0.16,,19.2,R,4.00E-02,7.30E-03,,,,,,3.02E-07,1.90E+05,,
Thebe,Jupiter,,4.93E+04,1.50E+18,3.00E+03,2.22E+08,,5.83E+04,0.8,0.02,,16,V0,4.70E-02,4.12E-02,,,,,,1.08E-04,6.09E+06,,
Adrastea,Jupiter,,8.20E+03,7.49E+15,3.00E+03,1.29E+08,9.41E+06,2.58E+04,0.03,0,,18.7,V0,1.00E-01,7.44E-03,,,,,,2.44E-04,1.83E+05,,
Metis,Jupiter,,2.15E+04,1.20E+17,3.00E+03,1.28E+08,9.30E+06,2.55E+04,0.06,0,,17.5,V0,6.10E-02,1.73E-02,,,,,,2.47E-04,1.12E+06,,
Callirrhoe,Jupiter,,4.30E+03,8.69E+14,2.60E+03,,,-6.56E+07,,,,20.8,R,4.00E-02,3.14E-03,,,,,,-9.58E-08,3.51E+04,,
Themisto,Jupiter,,4.00E+03,6.89E+14,2.60E+03,7.51E+09,,1.12E+07,45.67,0.24,,21,R,4.00E-02,2.88E-03,,,,,,5.59E-07,2.99E+04,,
Megaclite,Jupiter,,2.70E+03,2.10E+14,2.60E+03,,,-6.50E+07,,,,21.7,R,4.00E-02,1.92E-03,,,,,,-9.66E-08,1.35E+04,,
Taygete,Jupiter,,2.50E+03,1.65E+14,2.60E+03,,,-6.33E+07,,,,21.9,R,4.00E-02,1.76E-03,,,,,,-9.93E-08,1.14E+04,,
Chaldene,Jupiter,,1.90E+03,7.49E+13,2.60E+03,,,-6.25E+07,,,,22.5,R,4.00E-02,1.39E-03,,,,,,-1.01E-07,6.84E+03,,
